Iteration,ACS_time,ACS_dist,Elitist_time,Elitist_dist,MaxMin_time,MaxMin_dist
1,0.006376743316650391,2444.143473844219,0.005856752395629883,2444.143473844219,0.007020235061645508,2444.1434738442185
1,0.006270647048950195,2579.0935327677475,0.006066322326660156,2579.0935327677475,0.005836009979248047,2579.0935327677475
1,0.005796670913696289,2131.062579433546,0.0057833194732666016,2131.062579433546,0.005695819854736328,2131.062579433546
1,0.0058329105377197266,2406.879982316684,0.005655765533447266,2406.879982316684,0.005562543869018555,2406.879982316684
1,0.005758762359619141,2393.68093619137,0.005964040756225586,2393.6809361913706,0.0058634281158447266,2393.68093619137
1,0.009531497955322266,2278.505711267828,0.005812168121337891,2278.505711267828,0.005673408508300781,2278.505711267828
1,0.0060443878173828125,2151.118315734298,0.00652313232421875,2151.118315734298,0.006382465362548828,2151.118315734298
1,0.006217241287231445,2312.8113166717862,0.006044149398803711,2312.8113166717862,0.005822181701660156,2312.811316671786
1,0.00581669807434082,2627.793196299478,0.005869150161743164,2627.7931962994785,0.006021261215209961,2627.793196299478
1,0.005897998809814453,2338.846012658236,0.005926609039306641,2338.846012658236,0.005759477615356445,2338.8460126582354
1,0.0058324337005615234,2537.408159500494,0.0060577392578125,2537.408159500494,0.006418466567993164,2537.408159500494
1,0.006025791168212891,2810.8753173936657,0.006141185760498047,2760.5348578058106,0.006449460983276367,2760.5348578058106
1,0.006346702575683594,2184.350397807149,0.0063169002532958984,2184.350397807149,0.006389141082763672,2184.350397807149
1,0.005972146987915039,2247.900714561936,0.005886077880859375,2236.5178659355092,0.0058383941650390625,2236.5178659355092
1,0.005770444869995117,2370.0037956136543,0.005721569061279297,2309.1499015522586,0.005886554718017578,2309.1499015522586
1,0.005923271179199219,1891.9355580953143,0.005990505218505859,1891.9355580953143,0.006071805953979492,1891.9355580953143
1,0.0061113834381103516,2234.4731663442085,0.006036996841430664,2234.473166344208,0.005807399749755859,2234.473166344208
1,0.005979061126708984,2647.6819678027646,0.00597834587097168,2623.6470876280123,0.006109952926635742,2623.647087628012
1,0.0060918331146240234,2445.61976245588,0.005872249603271484,2445.61976245588,0.0065898895263671875,2445.6197624558795
1,0.0060384273529052734,2576.238691916219,0.005881547927856445,2576.2386919162186,0.005704641342163086,2576.2386919162186
2,0.024555206298828125,3755.7372896847273,0.022794246673583984,3729.8221090414836,0.022929668426513672,3248.117121696758
2,0.022612571716308594,3498.5254936832894,0.021892070770263672,3470.631250062688,0.022683382034301758,3223.7626892470116
2,0.02259683609008789,3219.7247159760836,0.02250361442565918,3524.6103525791764,0.02207469940185547,3219.7247159760836
2,0.021840810775756836,3865.81039156045,0.021946430206298828,3592.425698112456,0.023144245147705078,3338.347227210431
2,0.0220029354095459,3622.2142540868836,0.023873567581176758,3725.463307808426,0.022283077239990234,3712.5144445041506
2,0.02253580093383789,3264.2725632099596,0.0223085880279541,3216.520225047373,0.022675752639770508,3115.303748003494
2,0.022845983505249023,3076.5267144391605,0.022179365158081055,3436.142066967139,0.02248072624206543,3101.7269901993795
2,0.022949934005737305,2659.0341396708095,0.02263784408569336,2572.6243350112177,0.023047924041748047,2574.6559027956187
2,0.023100852966308594,3102.296011039222,0.02268075942993164,3174.2504409911458,0.023936033248901367,2817.2132511668465
2,0.024245262145996094,3141.122126618322,0.024582386016845703,3026.4452266787644,0.025152206420898438,2882.285871867725
2,0.02371382713317871,3026.8610397727916,0.022392988204956055,3084.775032043335,0.022111892700195312,2869.147234477132
2,0.023818254470825195,2840.0548083857284,0.02542567253112793,3044.562391865662,0.025017976760864258,2840.054808385728
2,0.02320075035095215,3940.8349004821516,0.0258023738861084,3850.3003083885515,0.023190021514892578,3810.6784918377366
2,0.0230710506439209,2972.759594442988,0.022368907928466797,2962.5031382202915,0.021984100341796875,2865.9392307494204
2,0.022120237350463867,2972.606077713428,0.022821426391601562,2784.801589605983,0.02301335334777832,2804.131145865187
2,0.025050640106201172,3699.2843204144974,0.023371219635009766,3590.4469352535643,0.022600650787353516,3336.8984187196206
2,0.02324819564819336,3161.264693693675,0.02332592010498047,3258.2150923479517,0.02231121063232422,3037.5404921351515
2,0.022023916244506836,3023.2942508780757,0.021973371505737305,2843.6848744933172,0.022639751434326172,2689.3888656918994
2,0.02283930778503418,2892.101711247916,0.02545762062072754,3029.1430898157664,0.02200031280517578,2838.6359853433723
2,0.021970033645629883,3192.4605962242895,0.022105693817138672,3211.2087992310794,0.02199554443359375,2955.5626323909883
3,0.05491971969604492,4319.069169214595,0.05073904991149902,3984.302123386499,0.05416464805603027,3940.2967044361817
3,0.05118155479431152,3830.624067252298,0.052408695220947266,3572.5518028778924,0.05343294143676758,3282.216415477944
3,0.05083966255187988,4407.859089819883,0.05162954330444336,4253.339849064405,0.05019378662109375,3896.197737879947
3,0.052733659744262695,3962.130073140372,0.050927162170410156,3869.7751811894877,0.05114579200744629,3494.046162343144
3,0.055983543395996094,4014.175101885212,0.05148172378540039,3908.0560747973727,0.0506742000579834,3605.1314002782096
3,0.051586151123046875,4233.691570601645,0.052153825759887695,4255.708014256811,0.05226469039916992,3686.9829956659983
3,0.05217576026916504,4552.738496880097,0.05113339424133301,4395.689711890341,0.0572819709777832,3932.7574560744742
3,0.05400657653808594,3839.7623565482486,0.05005192756652832,4204.404188685343,0.05311727523803711,3884.3888532695446
3,0.0522921085357666,4138.930109295005,0.050103187561035156,4275.946406859835,0.05035758018493652,3664.8575255357823
3,0.051755666732788086,4510.603049089038,0.05018782615661621,4347.580504941216,0.05463576316833496,3835.534906017888
3,0.05045604705810547,4145.575527154369,0.04927206039428711,4157.271425065205,0.05062055587768555,3683.340954880251
3,0.052037954330444336,4410.656629025127,0.05057120323181152,3889.240519421181,0.05115175247192383,4012.431743765069
3,0.0528261661529541,4023.5469898772276,0.050122976303100586,4140.942650159273,0.05112767219543457,3502.45840546197
3,0.05124330520629883,4658.632603305003,0.049927473068237305,4447.362523783128,0.05398201942443848,4003.9890362333895
3,0.05224037170410156,4311.83559590161,0.05110979080200195,4534.76340056067,0.05158519744873047,3907.6705993667406
3,0.05434298515319824,4162.265024607192,0.051709890365600586,4122.633044957394,0.0516514778137207,3783.7667293410973
3,0.051839590072631836,4592.3465008575995,0.05388474464416504,4430.040716088846,0.05305790901184082,3944.895339454345
3,0.052317142486572266,4769.456051521091,0.051345109939575195,4573.772787481964,0.0503697395324707,3841.269271997091
3,0.05391097068786621,3837.762516684675,0.052925825119018555,3925.3272334888998,0.051766395568847656,3762.7644715074625
3,0.05258297920227051,4787.8893619633345,0.051733970642089844,4728.792332488735,0.05120396614074707,4178.679548436247
4,0.09714770317077637,5856.086417359142,0.09371256828308105,5647.915941603346,0.1006782054901123,4625.513415315549
4,0.09490442276000977,5526.42550989344,0.09315848350524902,5282.015021422607,0.09682822227478027,4732.746928523838
4,0.10314416885375977,4769.353778790426,0.10387039184570312,4956.324629115541,0.10758805274963379,4371.320349324803
4,0.11833500862121582,5837.917753604126,0.14089655876159668,5760.911656211089,0.11058592796325684,4872.197390392735
4,0.11217308044433594,5573.424816597999,0.10028648376464844,5646.809847601406,0.09503865242004395,4711.581997590779
4,0.09734344482421875,5175.34387761719,0.09772610664367676,5057.547524050087,0.09662532806396484,4320.704421674322
4,0.09580349922180176,5526.1930768087295,0.09385037422180176,5498.876094686852,0.09506964683532715,4478.264934037444
4,0.09614944458007812,4789.098963694263,0.0970621109008789,4851.977057649719,0.09524345397949219,4304.688595459782
4,0.09631180763244629,5955.78700461082,0.09534955024719238,5289.943100990204,0.09593391418457031,4733.825952348218
4,0.09896516799926758,5316.0372335876045,0.0948796272277832,5416.149486465632,0.0974419116973877,4541.583007469486
4,0.09620070457458496,5873.969655446223,0.09878230094909668,5844.573432498747,0.09625601768493652,4438.655381849151
4,0.09776043891906738,5835.063054719438,0.09437847137451172,5772.1041919052,0.10071969032287598,5104.418086405534
4,0.09600067138671875,4455.705201205743,0.09864258766174316,4937.954817014184,0.09562110900878906,4053.3811359857264
4,0.09551310539245605,5490.421330344911,0.09421396255493164,5187.532036549514,0.09540438652038574,4221.774784210131
4,0.09554553031921387,5088.944003577136,0.0960991382598877,5194.3249359968195,0.0948340892791748,4155.108012725881
4,0.09673333168029785,5388.352841475831,0.09405207633972168,5129.563993290455,0.09493875503540039,4953.854890002545
4,0.0954751968383789,4494.153263362978,0.09700870513916016,4499.083639708015,0.09513640403747559,3881.147161117472
4,0.09460210800170898,4903.262320359723,0.09477615356445312,5134.719799495328,0.0969703197479248,4420.801782237143
4,0.09749388694763184,5117.554976551313,0.09726405143737793,5069.594056935914,0.09663963317871094,4495.115060883215
4,0.0974113941192627,5746.292801089469,0.0998992919921875,6067.65337851863,0.09548616409301758,5187.015524210336
5,0.1615145206451416,6370.906890712429,0.15828585624694824,6236.019730993245,0.16331768035888672,5342.803558658014
5,0.15511870384216309,5496.052328075021,0.15667033195495605,5729.733873946922,0.16985273361206055,4659.61695318914
